Data,Kurs USD
2018-01-02,3.4546
2018-01-03,3.4616
2018-01-04,3.4472
2018-01-05,3.4488
2018-01-08,3.4735
2018-01-09,3.4992
2018-01-10,3.4999
2018-01-11,3.495
2018-01-12,3.4366
2018-01-15,3.401
2018-01-16,3.419
2018-01-17,3.4109
2018-01-18,3.4108
2018-01-19,3.3994
2018-01-22,3.4036
2018-01-23,3.4084
2018-01-24,3.375
2018-01-25,3.3376
2018-01-26,3.3299
2018-01-29,3.3375
2018-01-30,3.3442
2018-01-31,3.3318
2018-02-01,3.3346
2018-02-02,3.3329
2018-02-05,3.3375
2018-02-06,3.3498
2018-02-07,3.3677
2018-02-08,3.4119
2018-02-09,3.4263
2018-02-12,3.4122
2018-02-13,3.3916
2018-02-14,3.3769
2018-02-15,3.3259
2018-02-16,3.3173
2018-02-19,3.3411
2018-02-20,3.3597
2018-02-21,3.3697
2018-02-22,3.4009
2018-02-23,3.3911
2018-02-26,3.3799
2018-02-27,3.3816
2018-02-28,3.4188
2018-03-01,3.4356
2018-03-02,3.42
2018-03-05,3.3995
2018-03-06,3.3936
2018-03-07,3.3744
2018-03-08,3.3935
2018-03-09,3.4132
2018-03-12,3.4066
2018-03-13,3.4143
2018-03-14,3.4055
2018-03-15,3.4117
2018-03-16,3.4214
2018-03-19,3.4341
2018-03-20,3.4296
2018-03-21,3.4544
2018-03-22,3.4264
2018-03-23,3.4319
2018-03-26,3.4145
2018-03-27,3.3921
2018-03-28,3.3956
2018-03-29,3.4201
2018-03-30,3.4139
2018-04-03,3.4177
2018-04-04,3.4224
2018-04-05,3.4301
2018-04-06,3.4315
2018-04-09,3.4174
2018-04-10,3.4068
2018-04-11,3.3859
2018-04-12,3.3924
2018-04-13,3.3862
2018-04-16,3.3666
2018-04-17,3.3572
2018-04-18,3.3721
2018-04-19,3.3693
2018-04-20,3.3881
2018-04-23,3.4156
2018-04-24,3.4401
2018-04-25,3.4548
2018-04-26,3.4827
2018-04-27,3.5003
2018-04-30,3.4868
2018-05-02,3.5563
2018-05-04,3.5754
2018-05-07,3.5634
2018-05-08,3.5884
2018-05-09,3.609
2018-05-10,3.5773
2018-05-11,3.5708
2018-05-14,3.5558
2018-05-15,3.5931
2018-05-16,3.6241
2018-05-17,3.6283
2018-05-18,3.6385
2018-05-21,3.6615
2018-05-22,3.6252
2018-05-23,3.6693
2018-05-24,3.659
2018-05-25,3.6686
2018-05-28,3.6849
2018-05-29,3.7299
2018-05-30,3.72
2018-06-01,3.6934
2018-06-04,3.6665
2018-06-05,3.6569
2018-06-06,3.647
2018-06-07,3.6062
2018-06-08,3.6479
2018-06-11,3.6247
2018-06-12,3.6271
2018-06-13,3.6461
2018-06-14,3.6155
2018-06-15,3.6922
2018-06-18,3.7003
2018-06-19,3.7316
2018-06-20,3.7352
2018-06-21,3.7607
2018-06-22,3.6977
2018-06-25,3.7087
2018-06-26,3.7151
2018-06-27,3.7351
2018-06-28,3.7705
2018-06-29,3.744
2018-07-02,3.7703
2018-07-03,3.7723
2018-07-04,3.7759
2018-07-05,3.7485
2018-07-06,3.7222
2018-07-09,3.685
2018-07-10,3.6973
2018-07-11,3.7
2018-07-12,3.7055
2018-07-13,3.7244
2018-07-16,3.6828
2018-07-17,3.6619
2018-07-18,3.7031
2018-07-19,3.7163
2018-07-20,3.717
2018-07-23,3.6957
2018-07-24,3.702
2018-07-25,3.6793
2018-07-26,3.6649
2018-07-27,3.6937
2018-07-30,3.6684
2018-07-31,3.6481
2018-08-01,3.6603
2018-08-02,3.6783
2018-08-03,3.6926
2018-08-06,3.692
2018-08-07,3.6722
2018-08-08,3.6782
2018-08-09,3.6846
2018-08-10,3.7481
2018-08-13,3.7862
2018-08-14,3.7768
2018-08-16,3.7871
2018-08-17,3.7784
2018-08-20,3.7695
2018-08-21,3.7375
2018-08-22,3.7104
2018-08-23,3.7069
2018-08-24,3.7014
2018-08-27,3.682
2018-08-28,3.6548
2018-08-29,3.6747
2018-08-30,3.6724
2018-08-31,3.6808
2018-09-03,3.6991
2018-09-04,3.7241
2018-09-05,3.733
2018-09-06,3.7143
2018-09-07,3.6995
2018-09-10,3.7283
2018-09-11,3.7087
2018-09-12,3.7198
2018-09-13,3.713
2018-09-14,3.6817
2018-09-17,3.6876
2018-09-18,3.6817
2018-09-19,3.6685
2018-09-20,3.6702
2018-09-21,3.6402
2018-09-24,3.662
2018-09-25,3.6511
2018-09-26,3.643
2018-09-27,3.6557
2018-09-28,3.6754
2018-10-01,3.6867
2018-10-02,3.7326
2018-10-03,3.7103
2018-10-04,3.7512
2018-10-05,3.7518
2018-10-08,3.7574
2018-10-09,3.7629
2018-10-10,3.7507
2018-10-11,3.7399
2018-10-12,3.713
2018-10-15,3.7091
2018-10-16,3.7036
2018-10-17,3.7123
2018-10-18,3.7302
2018-10-19,3.7601
2018-10-22,3.7273
2018-10-23,3.7485
2018-10-24,3.7698
2018-10-25,3.7796
2018-10-26,3.7899
2018-10-29,3.793
2018-10-30,3.8062
2018-10-31,3.8203
2018-11-02,3.7804
2018-11-05,3.7907
2018-11-06,3.7802
2018-11-07,3.7398
2018-11-08,3.7599
2018-11-09,3.7838
2018-11-12,3.8163
2018-11-13,3.8268
2018-11-14,3.8114
2018-11-15,3.8074
2018-11-16,3.7876
2018-11-19,3.784
2018-11-20,3.79
2018-11-21,3.7829
2018-11-22,3.7764
2018-11-23,3.7779
2018-11-26,3.7701
2018-11-27,3.7948
2018-11-28,3.8114
2018-11-29,3.7728
2018-11-30,3.7731
